JobTitle,About,Skills,WhoCanApply,OtherReq,Salary
Sales Executive,"Key responsibilities:

1. Sales lead generations
2. B2B sales & marketing
3. Understanding customer need
4. Travelling PAN India","B2B Sales
Business Development
Business Management
Effective Communication
English Proficiency (Spoken)
Interpersonal skills
Marketing
MS-Excel
Presentation skills
Sales Management
Earn certifications in these skills
Learn Effective Communication
Learn Email Marketing
Learn Business Communication
Learn Facebook Marketing
Learn Google AdWords
Learn Interpersonal skills
Learn MS-Excel
Learn Networking
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing","Only those candidates can apply who:

1. have minimum 1 years of experience","1. B.tech (Mechanical, Electrical Engineering).

2. MBA (Sales, Marketing)","Annual CTC: ₹ 2,40,000 - 4,20,000 /year

Perks
Health Insurance"
Graphic Designer,"Key responsibilities:

1. Enhance online presence of client brands with eye-catching and professional designs for app and web
2. Work alongside the project team to understand design requirements and create engaging concepts
3. Develop concepts into polished designs for Seasonal Stores, Category Landing Pages, or app Homepage Revamps
4. Collaborate with Design team and copywriters to strategize and understand performance metrics of each asset
5. Contribute to the creation of unified design experiences and help set up design systems for teams
6. Participate in creative brainstorming sessions and apply visual or creative design expertise

Requirements:

1. 0-1 years of industry experience
2. Possess a strong design portfolio showcasing illustration, visualization, and typography skills
3. Understand the Design Thinking process and wireframing
4. Demonstrate storytelling ability using Adobe Photoshop, Adobe XD, Illustrator, and Figma
5. Create and optimize graphics for web platforms
6. Show strong self-motivation and drive to succeed
7. Display empathy and advocacy for users in all design-related work
8. Maintain excellent attention to detail
9. Manage and meet deadlines independently
10. Handle stakeholders independently for assigned projects
11. Communicate and present ideas effectively with strong interpersonal skills
12. Maintain a great and positive attitude to support a collaborative and collegial team culture
13. Demonstrate a desire to learn and stay updated with trends in retail and e-commerce design","Adobe After Effects
Adobe Creative Suite
Adobe Illustrator
Adobe InDesign
Adobe Photoshop
Attention to Detail
Figma
UI & UX Design
Video Editing
Earn certifications in these skills
Learn Adobe After Effects
Learn Adobe Photoshop
Learn Adobe Premiere Pro
Learn Attention to Detail
Learn Figma
Learn Rapid Prototyping
Learn UI & UX Design
Learn Video Editing
Learn Wireframing",NULL,NULL,"Annual CTC: ₹ 2,40,000 - 4,00,000 /year"
Human Resources (HR) Associate - Fresher,"Key responsibilities:

1. Support HR Business Partners in day-to-day employee lifecycle activities (onboarding, confirmations, exits, etc.).
2. Assist in implementing HR policies, processes, and frameworks across business teams.
3. Collaborate with business teams to understand employee needs and provide HR-related support under guidance.
4. Partner with team members for employee engagement initiatives, wellness programs, and culture-building activities.
5. Strong communication and interpersonal skills with the ability to build relationships.",NULL,NULL,"1. Bachelor’s or Master’s degree in any field (HR, Business Administration, or related fields preferred).

2. Fresh graduates encouraged to apply; internship/project experience in HR or people-related roles is a plus.

3. Eagerness to learn and grow in HR Business Partnering.

4. Analytical mindset with attention to detail.

5. Proficiency in MS Office tools; exposure to HR systems is an advantage.","Annual CTC: ₹ 2,40,000 - 3,00,000 /year

Perks
5 days a week
Health Insurance"
Patient Care Coordinator,"Details:
1. Immediate Joiner required
2. Working location - Chrompet
3. Need Front office executive, Male And Female candidates Can Apply
4. Fresher also can apply with good communication
5. At least Should have around 1 year of experience
6. Shift Timing 6am - 2.30 pm, 1.30-10.00 pm Sunday working, week off will be in weekdays.

Key Responsibilities:

1. To assist and complete patient registration formalities
2. To guide the patient to the concerned department with care and to provide any assistance as per the patients need
3. To give a realistic time to the patient, relatives on the dispatch of reports
4. To coordinate and take responsibility for the preparation and dispatch of reports on time
5. To guide the patient to the concerned department with care and to provide any assistance as per the patients need
6. To Coordinate and brief the concerned department about the patient
7. To give a realistic time to the patient, relatives on the dispatch of reports
8. To coordinate and take responsibility for the preparation and dispatch of reports on time
9. Careful handling of cash and maintaining the record of cash, credit and dues
10. Cash, bills, bill summary to be carefully handed over to the accounts department","Patient Care
Earn certifications in these skills
Learn Business Communication
Learn Clinical Trial Analysis & Reporting","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Chennai only",Computer Skill & Good communication skill,"Annual CTC: ₹ 2,40,000 - 3,00,000 /year

Perks
5 days a week"
Junior Teacher - Fresher,"Key responsibilities:

1. Assist the lead teacher in planning, preparing, and delivering lessons.
2. Support classroom management and maintain a positive learning environment.
3. Work with small groups or individual students to reinforce learning concepts.
4. Help in the preparation of instructional materials and classroom displays.
5. Supervise students in the classroom, during lunch, on field trips, and in other school activities.
6. Monitor student progress and provide feedback to the Lead Teacher.
7. Encourage student engagement, creativity, and participation.
8. Communicate effectively with students, parents, and colleagues.
9. Uphold school policies, procedures, and professional standards.
10. Participate in staff meetings, training sessions, and professional development programs.

Qualifications:
1. Bachelor's degree in Education or relevant field (preferred).
2. Strong communication, collaboration, and organisational skills.
3. A passion for working with children and supporting their growth.
4. Flexibility, patience, and a proactive attitude.","Chemistry
English Proficiency (Spoken)
English Proficiency (Written)
Mathematics
Physics
Teaching
Earn certifications in these skills
Learn Business Communication
Learn Creative Writing","Only those candidates can apply who:

1. are from Bangalore only","1. Freshers can apply

2. Should have a background of BSC and B.TECH","Annual CTC: ₹ 2,40,000 - 3,00,000 /year

Perks
Health Insurance"
Junior Teacher - Fresher,"The associate teacher supports the lead teacher in delivering a high-quality educational experience to students. This role involves classroom assistance, lesson facilitation, supervision, and individual student support, with the goal of fostering academic, social, and emotional growth in students.

Key Responsibilities:

1. Assist the lead teacher in planning, preparing, and delivering lessons.
2. Support classroom management and maintain a positive learning environment.
3. Work with small groups or individual students to reinforce learning concepts.
4. Help in the preparation of instructional materials and classroom displays.
5. Supervise students in the classroom, during lunch, on field trips, and at other school activities.
6. Monitor student progress and provide feedback to the Lead Teacher.
7. Encourage student engagement, creativity, and participation.
8. Communicate effectively with students, parents, and colleagues.
9. Uphold school policies, procedures, and professional standards.
10. Participate in staff meetings, training sessions, and professional development programs.",NULL,NULL,"1. Candidate should have a BSc/ MSc or BE/BTech/MTech with math or physics, or chemistry as options in graduation or post-graduation.

2. Freshers can apply for it too.

3. Looking only for the Bangalore location.

4. Should be willing to work with students in a school environment.

5. Should have a passion for teaching.

6. should be ready to take up teaching.

7. Bachelor’s degree in Education or relevant field (preferred).

8. Strong communication, collaboration, and organizational skills.

9. A passion for working with children and supporting their growth.

10. Flexibility, patience, and a proactive attitude.

11. Should have zeal for teaching.","Annual CTC: ₹ 2,40,000 - 3,00,000 /year

Perks
Health Insurance"
Marketing Development Officer- MDO,"Key responsibilities:

1. Daily farmer visits - explaining farmers about company products
2. Liquidation - selling company products to farmers
3. Field demo - giving demonstration of company products to farmers on their farms
4. Farmer meeting - conducting farmer meetings and giving company products demo
5. Dealer relationship - maintaining the relationship with the dealer by doing ground level work & his area and informing him about the same. Helping him sale company products.","Field Work
Sales
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience",Freshers can also apply,"Annual CTC: ₹ 2,30,400 - 4,08,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 1,68,000 - 3,24,000 /year

2. Variable pay: ₹ 62,400 - 84,000 /year"
Sales Executive - Fresher,"Key responsibilities:

1. Promote and sell banking products like Personal Loans, Credit Cards, and CASA accounts.
2. Identify customer needs and offer appropriate financial products.
3. Maintain a positive relationship with customers.
4. Meet daily/weekly/monthly sales targets as assigned.
5. Provide accurate reports to the team leader or manager.",NULL,NULL,"ELIGIBILITY :-

1.Education: Minimum HSC (12th pass) or Graduate (any stream).

2.Experience: Freshers are welcome.

3.Experienced candidates have 6 months experience in Banking and selling.

4.Good communication skills in Hindi and basic English.

WORK TIMINGS:

1.Fixed day shift: 9:30 AM to 6:30 PM

2.Weekly off: Sunday fixed off","Annual CTC: ₹ 2,30,000 - 3,76,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 2,00,000 - 2,76,000 /year

2. Variable pay: ₹ 30,000 - 1,00,000 /year"
Business Development Executive - Fresher,"We are seeking a motivated and skilled Business Development Executive to join our team. The role involves identifying and generating new business opportunities, maintaining client relationships, and driving growth through strategic engagement.

Key Responsibilities:

1. Identify and generate new business opportunities.
2. Manage and maintain the client database with up-to-date contact information and interaction history.
3. Build and nurture strong relationships with existing clients.
4. Negotiate with clients, offering the best deals while aligning with company objectives.
5. Research clients to prepare effective engagement strategies.
6. Review client feedback and coordinate with internal teams to implement necessary improvements.","Client Relationship Management (CRM)
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Marketing
Negotiation
Earn certifications in these skills
Learn Effective Communication
Learn Email Marketing
Learn Business Communication
Learn Facebook Marketing
Learn Google AdWords
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing","Only those candidates can apply who:

1. are from Pune only","1. Excellent proficiency in English (written and spoken).

2. Strong negotiation and persuasion skills.

3. Experience in client relationship management.

4. Ability to analyze feedback and adapt strategies accordingly.

5. Proactive, self-motivated, and results-oriented.","Annual CTC: ₹ 2,20,000 - 2,80,000 /year

Perks
Informal dress code
Health Insurance"
Corporate Sales Associate - Fresher,"Key Responsibilities:

1. Generate leads and engage with potential clients through field visits, calls, and references
2. Present project details clearly and confidently to prospective customers
3. Coordinate and conduct project site visits for clients
4. Maintain regular follow-ups and support clients through their decision-making process
5. Maintain accurate records of leads, interactions, and conversions",NULL,NULL,"1. Candidates should be graduates from any stream or have real estate-related education

2. Candidates with prior experience in real estate, banking, or insurance industries will be preferred

3. Applicants should preferably be residing in Vishakhapatnam

4. Strong communication, persuasion, and relationship-building skills

5. Data-driven mindset with experience using KPIs to enhance performance","Annual CTC: ₹ 2,16,000 - 3,00,000 /year"
Associate Recruiter,"Key responsibilities:

1. Strategically source and attract candidates using diverse channels such as job boards, internal databases, referrals, and professional networks.
2. Conduct thorough pre-screening assessments to evaluate candidates'
qualifications, skills, and cultural fit.
3. Submit a consistent pipeline of qualified candidates for active job mandates, ensuring alignment with client expectations.
4. Build and maintain strong, long-term relationships with candidates to create a sustainable talent pool.
5. Collaborate closely with internal stakeholders and meet stringent deadlines and performance benchmarks.
6. Continuously improve recruitment practices through self-learning and adoption of best-in-class sourcing techniques.","Cold Calling
Customer Acquisition
Customer Support
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Recruitment
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Recruitment",NULL,NULL,"Annual CTC: ₹ 2,16,000 - 3,00,000 /year

Perks
5 days a week
Cab/Transportation facility
Health Insurance"
Football Academy - Business And Operations - Fresher,"Key responsibilities:

1. Generating revenue through new enrollments and renewals
2. Partner relationship
3. Managing team of coaches",NULL,NULL,NULL,"Annual CTC: ₹ 2,16,000 - 2,64,000 /year

Perks
Informal dress code
Free snacks & beverages"
Car Technicians,"Key responsibilities:

1. Engine works
2. Testing
3. Repairing
4. Manage the identification of mechanical, electrical, and electronic malfunctions through visual inspections, computerized diagnostic equipment, and test drives.","Technical Support
Earn certifications in these skills
Learn VLSI
Learn 3D Printing
Learn Advanced SOLIDWORKS
Learn Ansys
Learn CATIA
Learn AutoCAD 3D
Learn LabVIEW
Learn PLC Programming
Learn Engineering Drawing
Learn Siemens NX
Learn Creo Parametric
Learn SolidWorks","Only those candidates can apply who:

1. have minimum 1 years of experience","ITI

Mechanical Engineers

Diploma in Mechanical","Annual CTC: ₹ 2,12,000 - 3,15,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 2,00,000 - 3,00,000 /year

2. Variable pay: ₹ 12,000 - 15,000 /year"
Associate Telecaller - Fresher,"Key Responsibilities:

1. Talking to clients, providing them good package
2. Understanding the client's requirements",NULL,NULL,Open for voice process,"Annual CTC: ₹ 2,10,000 - 4,00,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 2,00,000 - 3,50,000 /year

2. Variable pay: ₹ 10,000 - 50,000 /year

Perks
Informal dress code
Health Insurance
Life Insurance"
Accountant/Accounts Executive,"Key Responsibilities:

1. Perform superannuation fund accounting and tax work for Australian clients
2. Prepare monthly/quarterly/half-yearly accounts
3. Finalize periodical accounts as per clients' needs
4. Prepare tax returns of entities and individuals
5. Review financial statements as per requirements
6. Provide audit support services and prepare related work papers
7. Prepare BAS (business activity) returns (on lines of GST) for Australian clients
8. Conduct revenue/spend analysis and prepare payroll

Initial domain skill awareness assurance:

1. Structured training with incrementally increasing awareness assurance through a self-learning model, with guidance of senior team members before switching over to the live work platform","Accounting
Earn certifications in these skills
Learn Tally
Learn Stock Market Trading
Learn Business Analytics
Learn Personal Finance","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Ahmedabad, Gandhinagar, Indore, Jamnagar, Rajkot, Surat, Udaipur only","1. Good understanding of accounting and tax concepts

2. Hands-on Usage skills of Microsoft Excel and Word

3. Willing to make a career in the Australian and tax field

4. Good at English communication and conversation skills

5. Education UG: BCom in any specialization, LLB in any specialization with minimum 1 year experience

6. PG: CS in any specialization, MBA/PGDM in any specialization, with a minimum of 1 year of experience

7. ACCA, ICWA (CMA) in any specialization, CA in any specialization, MCom in any specialization, both freshers and experienced are welcome","Annual CTC: ₹ 2,10,000 /year

Perks
5 days a week"
Associate Content Writer,"Are you passionate about writing and social media? Do you have a keen eye for creativity and a knack for engaging storytelling? Moople Institute Of Animation And Design is looking for an Associate Content Writer to join our dynamic team!

As an Associate Content Writer, you will be responsible for creating compelling blog posts, articles, and social media content that captivates our audience. Your expertise in creative writing and social media marketing will help drive engagement and brand awareness for our institute.

Key Responsibilities:
1. Write engaging and informative blog posts and articles on animation and design topics
2. Develop creative content for social media platforms to enhance brand visibility
3. Collaborate with our design team to create visually appealing and cohesive content
4. Conduct research to stay up-to-date on industry trends and incorporate relevant information into your writing
5. Edit and proofread content to ensure accuracy and adherence to brand guidelines
6. Monitor and analyze content performance metrics to optimize future strategies
7. Stay informed on best practices for SEO and implement strategies to improve search rankings

If you are a talented writer with a passion for storytelling and a strong understanding of social media marketing, we want to hear from you! Join us at Moople Institute Of Animation And Design and help us inspire the next generation of creative professionals. Apply now!","Blogging
Creative Writing
English Proficiency (Spoken)
English Proficiency (Written)
Social Media Marketing
Earn certifications in these skills
Learn Creative Writing
Learn Business Communication
Learn Facebook Marketing
Learn Social Media Marketing",NULL,NULL,"Annual CTC: ₹ 2,05,000 - 2,07,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 2,00,000 /year

2. Variable pay: ₹ 5,000 - 7,000 /year"
Field Sales Executive,"Key responsibilities:

1. Generate new loan leads through field sales in the market.
2. Onboard new channel partners for lead generation.
3. Increase overall monthly loan sales.","Business Development
Client Interaction
Client Relationship
Client Relationship Management (CRM)
Customer Acquisition
Field Sales
Field Work
Lead Generation
Marketing
Sales
Earn certifications in these skills
Learn Email Marketing
Learn Facebook Marketing
Learn Google AdWords
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing",NULL,NULL,"Annual CTC: ₹ 2,00,000 - 5,00,000 /year

Perks
5 days a week
Health Insurance
Life Insurance"
Technician For Solar Installation,"Key Responsibilities:

1. Lead and oversee solar panel installations, including rooftop, off-grid, and ground-mounted systems.
2. Interpret technical drawings, site layouts, and electrical schematics.
3. Supervise a team of technicians and ensure adherence to quality and safety standards.
4. Plan site execution schedules, allocate resources, and coordinate with suppliers.
5. Conduct site inspections, audits, and performance tests.
6. Troubleshoot technical issues and provide prompt resolutions.
7. Ensure compliance with electrical and structural codes.
8. Maintain project documentation, service reports, and installation records.
9. Coordinate with clients, project managers, and vendors for smooth execution.
10. Train junior staff and technicians on solar installation and maintenance best practices.","Problem Solving
Self-learning
Earn certifications in these skills
Learn Problem Solving
Learn VLSI
Learn PCB Design","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Guntur, Visakhapatnam, Narasaraopet, Macherla, Vijayawada only","1. Diploma/BTech in electrical, EEE, or related technical discipline.

2. Minimum 1 or more years of experience in solar PV system installation & service.

3. Strong knowledge of solar equipment, inverters, batteries, and electrical components.

4. Familiarity with MNRE and DISCOM standards.

5. Ability to manage teams and handle field operations independently.

6. Good communication skills in Telugu and English.

7. Willingness to travel to nearby districts/sites as needed.

8. Experience with hybrid/off-grid systems.

9. Exposure to net metering and subsidy documentation processes.

10. Valid driving license (2-wheeler or 4-wheeler).","Annual CTC: ₹ 2,00,000 - 4,20,000 /year"
Telecaller - Fresher,"Apollo 24|7 Insurance Service Limited is seeking motivated professionals with 2-3 years of experience in the insurance sector or digital aggregators to join our team as insurance officers. In this role, you will be responsible for closing insurance sales through telecalling. This is an excellent opportunity to directly contribute to revenue growth while developing deep relationships with clients in the health & life insurance space. We are looking for individuals who are proactive, result-driven, and have strong experience in selling insurance products. You will be instrumental in converting leads into successful sales and driving our business forward.

Key responsibilities:

1. Close insurance sales (Health, Life) with existing leads via telecalling.
2. Engage with families within the Apollo Healthcare ecosystem to understand their insurance needs and offer suitable product solutions.
3. Handle customer queries, provide product details, and ensure the client is fully informed before finalizing the sale.
4. Meet and exceed individual sales targets through effective follow-ups and relationship management.
5. Build long-term relationships with clients by offering continuous support and addressing any service-related issues.
6. Provide a high level of service throughout the sales process, ensuring customer satisfaction and retention.
7. Maintain records of all interactions with customers, providing regular updates on progress and sales pipeline.
8. Collaborate with the sales team and management to ensure that targets are consistently achieved.",NULL,NULL,"Benefits and incentives:

1. Performance-based incentives with the potential for substantial earnings.

2. Opportunity to be deputed as a specified officer with IRDAI, enhancing your professional credentials.

3. Exceptional career growth prospects within the Apollo Healthcare ecosystem.

4. A supportive and dynamic work environment.

Requirements:

1. Proven experience of 1-3 years working with an insurance company or digital insurance aggregators.

2. Strong understanding of health, life, and general insurance products.

3. Fluency in English is required

4. Excellent communication, negotiation, and interpersonal skills.

5. Experience with telecalling and face-to-face meetings to close sales.

6. Goal-oriented and capable of meeting sales targets and deadlines.

7. Strong customer service orientation and problem-solving skills.

8. Must be proactive, self-motivated, and able to work independently.

9. Ability to build rapport and maintain long-term client relationships.

10. IRDAI certification (preferred, but not mandatory).","Annual CTC: ₹ 2,00,000 - 4,00,000 /year"
Associate Accountant,"We are seeking a dynamic and experienced Associate Accountant to join our team at Manubhai & Shah LLP. As an integral member of our accounting department, you will be responsible for a variety of tasks including financial reporting, taxation, bank reconciliation, and more.

Key Responsibilities:

1. Prepare and maintain financial records using Tally and MS-Excel.
2. Ensure compliance with taxation laws and regulations, including GST and income tax. Finallisation of Books of Accounts.
3. Perform bank reconciliations and monitor cash flow.
4. Assist with the preparation of financial statements and reports.
5. Utilize accounting software to streamline processes and improve efficiency.
6. Communicate effectively with clients and colleagues, demonstrating strong English proficiency (spoken and written).
7. Collaborate with the team to support overall financial goals and objectives.

If you are a detail-oriented individual with a passion for accounting and a strong understanding of financial principles, we would love to hear from you. Join us at Manubhai & Shah LLP and take your career to the next level!","Accounting
Accounting Software
Bank Reconciliation
English Proficiency (Spoken)
English Proficiency (Written)
GST
Income Tax
MS-Excel
Tally
Taxation
Earn certifications in these skills
Learn Business Communication
Learn MS-Excel
Learn Tally","Only those candidates can apply who:

1. have minimum 1 years of experience","CA, CA-inter, CMA, CMA inter, ACCA, ACCA Pursuing, M.Com

Holding experience in Australian accounting is preferred.","Annual CTC: ₹ 2,00,000 - 4,00,000 /year

Perks
5 days a week"
Graphic Designer And Video Editor,"We are looking for a creative and detail-oriented graphic designer & video editor to support our training and communication initiatives. The role involves designing engaging visuals, editing training videos, and ensuring consistency with our brand standards.

Key Responsibilities:

1. Design graphics for training programs.
2. Edit videos for daily training programs.
3. Create animations and motion graphics to enhance visual storytelling.
4. Manage multiple projects simultaneously while meeting deadlines.
5. Stay updated with the latest trends in graphic design and video editing software.
6. Ensure brand consistency across all visual assets.

If you are a talented and creative individual with a passion for design and video editing, we invite you to join our team and help us inspire our customers to live healthier lives.

Note: This is a contractual position.","Adobe Premiere Pro
Canva
Graphic Design
Video Editing
Earn certifications in these skills
Learn Adobe Photoshop
Learn Adobe Premiere Pro
Learn Digital Art
Learn Video Editing","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Proficiency in creating banners, posters, teasers, and pamphlets using Canva.

2. Strong video editing skills in Adobe Premiere Pro.

3. Knowledge of video shooting will be an added advantage.","Annual CTC: ₹ 2,00,000 - 3,00,000 /year"
Image Editor,"Key Responsibilities:

1. Edit and enhance images using Adobe Photoshop, ensuring high-quality outputRetouch and manipulate images to meet the requirementsPerform colour correction, brightness, and contrast adjustments
2. Remove creases, wrinkles, defects, and unwanted elements from images
3. Create composite images by combining multiple imagesWork with designers and art directors to ensure images meet project requirements
4. Meet deadlines and deliver high-quality work consistently","Adobe Illustrator
Adobe Photoshop
Earn certifications in these skills
Learn Adobe Photoshop
Learn VLSI
Learn Cloud Computing
Learn Embedded Systems
Learn Graphic Design
Learn Photography
Learn Machine Learning
Learn Natural Language Processing
Learn Git & Github
Learn Software development
Learn Vibe Coding","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Proficiency in Adobe PhotoshopStrong understanding of colour theory and image editing principles

2. Attention to detail and ability to work accuratelyExcellent communication and collaboration skillsAbility to meet deadlines and work efficiently

3. Preferred Qualifications: Graduate Experience in Image editing and colour correction

4. Familiarity with image editing software other than Photoshop","Annual CTC: ₹ 2,00,000 - 3,00,000 /year"
Science Lab Assistant,"Apeejay Education Society is looking for a Chemistry Lab Assistant / Science Lab Assistant for Apeejay School, Noida.

Key responsibilities:

1. Prepare, set up, and maintain lab equipment for physics, chemistry, and biology experiments.
2. Ensure cleanliness and safety of the lab environment.
3. Assist teachers and students during lab sessions.
4. Maintain inventory of lab materials and request procurement as needed.
5. Dispose of chemical and biological waste safely, following safety protocols.
6. Keep detailed records of lab usage and equipment maintenance.

Important notes (mandatory):
Candidates must have prior experience working in a school environment.
Familiarity with school laboratory procedures and safety protocols is essential.

Salary: Up to 25,000 per month",Laboratory Techniques,NULL,NULL,": Up to 25,000 per month
Skill(s) required
Laboratory Techniques

Who can apply

Only those candidates can apply who:

1. have minimum 1 years of experience

Salary

Annual CTC: ₹ 2,00,000 - 3,00,000 /year"
Content Writer,"The ideal candidate will be working with team members from different verticals and assisting them with respective content requirements.

Key responsibilities:

1. Create content pieces that appeal to our audiences, attract customers and boost our brand awareness.
2. Create keyword optimized blog content related to flowers, to be posted on our websites.
3. Create keyword optimized content for products and category description.
4. Write content to be used by SEO to build backlinks.
5. Write content for email marketing campaigns.
6. Assist social media activities by creating attractive content.
7. Perform regular spelling and grammar checks for all marketing assets.
8. Make sure a proper tone of language is followed across all content pieces.
9. Perform other duties as and when needed.","Creative Writing
English Proficiency (Written)
Search Engine Optimization (SEO)
Earn certifications in these skills
Learn Creative Writing
Learn Business Communication
Learn SEO","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Chennai only",We need candidate with minimum of 1 years Ecommerce Content writing experience.,"Annual CTC: ₹ 2,00,000 - 2,40,000 /year

Perks
5 days a week"
Corporate Sales Executive - Fresher,"Are you a dynamic and driven individual with a passion for sales? Everest Fleet Private Limited is seeking a Corporate Sales Executive to join our team! As a key member of our sales department, you will be responsible for developing and implementing sales strategies, generating reports, and driving revenue growth.

Key Responsibilities:
1. Develop and execute sales strategies to achieve corporate sales goals
2. Identify and pursue new business opportunities to expand our client base
3. Build and maintain strong relationships with corporate clients
4. Collaborate with internal teams to ensure seamless execution of sales initiatives
5. Generate detailed reports on sales performance and market trends
6. Provide exceptional customer service and support to clients
7. Stay up-to-date on industry trends and competitor activities to inform sales strategies

If you are a proactive and results-oriented individual with excellent communication skills and a solid understanding of sales principles, we want to hear from you! Join us at Everest Fleet Private Limited and take your career to new heights. Apply now!","English Proficiency (Spoken)
MS-Excel
MS-Office
Report Generation
Sales
Sales Strategy
Earn certifications in these skills
Learn Business Communication
Learn MS-Excel
Learn Digital Marketing
Learn Business Analytics",NULL,NULL,"Annual CTC: ₹ 2,00,000 - 2,40,000 /year

Perks
5 days a week
Cab/Transportation facility
Health Insurance
Life Insurance"
Performance Marketing Associate,"Job Title: Performance Marketing Associate
Location: Panvel, Navi Mumbai.
Job Type: Full-Time (On-site)
Experience Required: 1.5 - 2 Years
Start Date: Immediately
CTC: 200000 to 240000

We are looking for a Performance Marketing Executive with hands-on experience in running ad campaigns on Meta (Facebook & Instagram), Google Ads, and Taboola. The ideal candidate should have experience working with e-commerce brands and driving measurable results.

Key Responsibilities:

1. Plan and manage paid campaigns on Meta, Google, and Taboola
2. Optimize campaigns for ROAS, CTR, CAC, etc.
3. Track performance metrics and prepare campaign reports
4. Collaborate with design/content team for ad creatives
5. A/B testing, retargeting, and audience segmentation","Data Analysis
Facebook Ads
Google AdWords
Paid Advertising
Earn certifications in these skills
Learn Google AdWords
Learn Power BI
Learn Search Engine Marketing
Learn Statistical Modeling","Only those candidates can apply who:

1. have minimum 1 years of experience","Requirements:

1. 1.5–2 years of experience in performance marketing

2. Prior experience handling e-commerce brand campaigns

3. Strong understanding of paid marketing funnels & analytics tools

4. Knowledge of Google Analytics, Meta Ads Manager, and GTM

Perks:

1. Opportunity to work with growing D2C/e-commerce brands

2. Fast-paced learning environment

3. Skill development support","Annual CTC: ₹ 2,00,000 - 2,40,000 /year

Perks
Informal dress code"
Teacher - Fresher,"Key responsibilities:

1. To Teach adult Students from the rural areas, follow the curricullum.
2. To mobilize students if there are less than 60 enrolments at the branch
3. To retain the students, counsel the inactives and absentees, fill the phone logs, have meeting with the parents of the students.","Teaching
Earn certifications in these skills
Learn Creative Writing","Only those candidates can apply who:

1. are from Hisar, Hansi Rural only","Graduate in any Stream, fresher and experienced both can apply. Candidate must have basic English with the basic computer skills","Annual CTC: ₹ 2,00,000 - 2,40,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 1,00,000 - 1,30,000 /year

2. Variable pay: ₹ 1,00,000 - 1,10,000 /year

Perks
Informal dress code
Health Insurance
Life Insurance"
Telecaller - Fresher,"Key responsibilities:

1. Make outbound calls to prospective customers to promote our real estate/construction projects.
2. Handle inbound customer inquiries and provide relevant project details.
3. Explain project features, pricing, and benefits to potential buyers.
4. Maintain accurate records of customer interactions and follow-up calls.
5. Build and maintain positive relationships with clients to ensure conversions.
6. Coordinate with the sales team to schedule site visits and meetings.
7. Achieve daily/weekly/monthly calling and conversion targets.",NULL,NULL,"1. Minimum qualification: 12th pass/Graduate.

2. Prior experience in telecalling/telemarketing/customer service preferred (real estate experience will be an advantage).

3. Good communication skills in English and Telugu(regional languages will be an added benefit).

4. Strong persuasion and negotiation skills.

5. Basic knowledge of MS Office/CRM tools.

6. Ability to work under targets and pressure.","Annual CTC: ₹ 2,00,000 - 2,10,000 /year"
